CNPJ,razon_social,Nome comercial,Endereço,Número,Complemento,Bairro,Cidade,Estado,Cep,correo_comercial,Telefone,Segmento,Área de atuação,Data de abertura,Porte da empresa,Optante simples nacional,Natureza jurídica,Capital social,Número de funcionários
06.032.522/0001-51,Slxsys Servicos de Informatica Ltda,,Av Prefeito Dulcidio Cardoso,2500,"Apt 103, Bloco 01",Barra da Tijuca,Rio de Janeiro,RJ,22631-051,haroldo@gamal.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,02/12/2003,Micro empresa,Optante,Sociedade Empresária Limitada,,
30.183.680/0001-97,Flync Tecnologia Ltda,Flync,Rio Branco,639,Sala 403 F,Centro,Santa Maria,RS,97010-421,uriel@flync.com.br,(55) 99996-9997,Informática,Desenvolvimento de programas de computador sob encomenda,12/04/2018,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
21.179.556/0001-67,Zydax Tecnologia em Informatica Ltda,Zydax Consulting,Av Beira-mar,200,Pavmto3- Parte,Centro,Rio de Janeiro,RJ,20021-060,financeiro@zydax.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,10/09/2014,Demais,Excluído,Sociedade Empresária Limitada,"R$ 70000,00",
34.785.867/0001-11,Truora Tecnologia Ltda.,,Dr Renato Paes de Barros,618,Andar 5,Itaim Bibi,São Paulo,SP,04530-000,contact@truora.com,(11) 96584-9798,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,06/09/2019,Demais,Não optante,Sociedade Empresária Limitada,"R$ 40000,00",
13.079.396/0001-56,Tgroups Tecnologias em Informatica Ltda,,R Tabapua,594,Sala 48/49,Itaim Bibi,São Paulo,SP,04533-002,prodos@prodos.com.br,(11) 2478-9891,Informática,Desenvolvimento de programas de computador sob encomenda,23/12/2010,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 10000,00",
12.049.534/0001-91,T B S Consulting Solucoes em Informatica Ltda,,R Tiburcio Rodrigues,259,,Parque Colonial,São Paulo,SP,04821-160,priscila.contabil@tbsnet.com.br,(11) 5662-9004,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,25/05/2010,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 60000,00",
22.864.109/0001-00,Indigosoft Tecnologia S.a.,,Av Queiroz Filho,1700,Sala: 503;,Vila Hamburguesa,São Paulo,SP,05319-000,contato@indigosoft.com.br,(11) 2858-4944,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,16/07/2015,Demais,Não optante,Sociedade Anônima Fechada,"R$ 1000000,00",
05.033.191/0001-01,Polisoftware do Brasil Ltda,Polisoftware do Brasil,R Tamoio,113,Loja 100,Centro,Pato Branco,PR,85501-070,comercial@polisoftware.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,03/05/2002,Micro empresa,Não optante,Sociedade Empresária Limitada,,
03.592.742/0001-41,Clicktime Servicos de Marketing e Design Ltda,Clicktime,St Sepn Quadra 504 Bloco C,31,Loja 14 1 Subsolo,Asa Norte,Brasília,DF,70730-523,contato@abcertifica.com.br,(11) 3478-9444,Informática,Desenvolvimento de programas de computador sob encomenda,17/01/2000,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,,
09.430.959/0001-31,Graphlab Computacao Ltda.,,dos Araujos,71,Casa 15 Apt 201 Parte,Tijuca,Rio de Janeiro,RJ,20521-000,contabilidade@graphlab.com.br,(21) 2203-2668,Informática,Desenvolvimento de programas de computador sob encomenda,25/02/2008,Micro empresa,Não optante,Sociedade Simples Limitada,"R$ 1000,00",
34.670.440/0001-78,Itaoka Maquetes e Projetos Eireli,Itaoka Maquetes,Calogero Calia,37,,Vila Santo Estefano,São Paulo,SP,04152-100,ithanderson@itaoka.com.br,(11) 2885-9214,Engenharia,Serviços de desenho técnico relacionados à arquitetura e engenharia,27/08/2019,Empresa de pequeno porte,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 99800,00",
17.693.379/0001-65,"Ciage - Centro de Inteligencia, Analise e Gestao Educacional Limitada",,R Avelino Silveira Franco,149,Sala 55 Cond L'office,Ville Sainte Helene,Campinas,SP,13105-822,contato@ciage.com.br,(19) 3324-8819,Informática,Desenvolvimento de programas de computador sob encomenda,28/02/2013,Demais,Não optante,Sociedade Empresária Limitada,"R$ 300000,00",1-10
29.124.680/0001-37,Connectfarma Tecnologia Ltda,Connectfarma,R Patricio Farias,131,Loja 03,Itacorubi,Florianópolis,SC,88034-132,contato@nexfar.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,22/11/2017,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
40.824.625/0001-92,Create Informatica Ltda,,R Sete de Setembro,42,Sala 0104 Edf Independencia,Boa Vista,Recife,PE,50060-070,suporte@create.com.br,(81) 3222-4957,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,19/08/1991,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
10.804.639/0001-83,Csm Solucoes em Sistemas Corporativos Ltda,,R Padre Pedro Evangelista,45,Andar: 3;,Coracao Eucaristico,Belo Horizonte,MG,30535-490,juliano.evangelista@csmsolucoes.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,06/05/2009,Demais,Não optante,Sociedade Empresária Limitada,"R$ 20000,00",
24.618.219/0001-17,Atender Digital Tecnologia e Servicos Ltda,Atender Digital,Sao Luis,112,Andar 18 Conj 1802,Republica,São Paulo,SP,01046-000,financeiro@atender.digital,(11) 3132-7300,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,18/04/2016,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 1000,00",
23.702.503/0001-04,Your Open Legal Tecnologia Ltda.,Yol,Verbo Divino,2001,Conj 508 Sala A Torre B,Chacara Santo Antonio (zona Sul),São Paulo,SP,04719-002,taylise.seixas@youropenlegal.com.br,(11) 5184-2098,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,19/11/2015,Demais,Não optante,Sociedade Empresária Limitada,"R$ 30000,00",
35.423.126/0001-53,Code and App Tecnologia Ltda,Code and App,Nossa Senhora da Penha,595,Edif Tiffany Center T I Sala 704,Santa Lucia,Vitoria,ES,29056-245,bruno.marchini@codenapp.com,(27) 99904-5866,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,06/11/2019,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
05.636.817/0001-74,Ms & Rcasoft Tecnologia da Informacao e Telecomunicacoes Ltda,Rcasoft,R Rafael Andrade Duarte,600,Andar 6,Jardim Paraiso,Campinas,SP,13100-011,consultores@eitv.com.br,(11) 4011-4500,Informática,Desenvolvimento de programas de computador sob encomenda,25/04/2003,Demais,Excluído,Sociedade Empresária Limitada,"R$ 200000,00",11-50
07.703.779/0001-50,Dclick Desenvolvimento de Softwares Ltda.,Dclick,Engenheiro Luiz Carlos Berrini,550,Conj 41,Cidade Moncoes,São Paulo,SP,04571-000,rogerio.martinelli@dclick.com.br,(11) 5505-4307,Informática,Desenvolvimento de programas de computador sob encomenda,28/09/2005,Demais,Não optante,Sociedade Empresária Limitada,"R$ 2700000,00",
35.027.670/0001-86,Voice Manager Solucoes em Nuvem Ltda,Voice Manager Cloud,Queluzita,34,Sala 1912 Bloco 02,Dom Joaquim,Belo Horizonte,MG,31920-011,contato@voicemanager.cloud,(11) 99952-9955,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,30/09/2019,Demais,Não optante,Sociedade Empresária Limitada,"R$ 100000,00",
07.926.071/0001-69,Tiweb - Informatica Ltda,Tiweb - Informatica,R Acucenas,117,,Jardim das Industrias,São José dos Campos,SP,12240-140,conta2@compramais.com.br,(12) 3018-7313,Informática,Desenvolvimento de programas de computador sob encomenda,09/03/2006,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 500,00",
09.069.233/0001-15,Britech S.a.,Britech,R Arizona,1366,Andar 7 Conj 71,Cidade Moncoes,São Paulo,SP,04567-003,academia@britech.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,29/08/2007,Demais,Não optante,Sociedade Anônima Fechada,"R$ 16961250,00",
09.437.108/0001-10,Easy-tecno Informatica Ltda,Easy-tecno,R Zuferey,415,,Jardim Pitangueiras I,Jundiaí,SP,13202-420,sergio@posto22.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,05/03/2008,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 38000,00",
12.496.510/0001-80,Simplest Software Ltda,,Av Rolf Wiest,277,Andar 7 Sala 701 A 720,Bom Retiro,Joinville,SC,89223-005,contato@gorep.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,08/09/2010,Demais,Não optante,Sociedade Empresária Limitada,"R$ 5172220,00",
29.182.073/0001-23,Assuretec Tecnologia e Servicos Eireli,Assuretec,Cleusia Alves de Carvalho,59,,Olimpio Moreira,Itauna,MG,35680-782,comercial@assuretec.com.br,(37) 3073-2800,Informática,Desenvolvimento de programas de computador sob encomenda,30/11/2017,Micro empresa,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 93700,00",
20.344.845/0001-01,Xlung - Prestacao de Servicos em Desenvolvimento de Software Ltda,Xlung,Dom Luis,1200,Sala 805 Sala 806,Aldeota,Fortaleza,CE,60160-230,contact@xlung.net,(85) 4011-5655,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,26/05/2014,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 4000,00",
16.479.400/0001-61,Rosario Filho Tecnologia Ltda,Navegart,R Conselheiro Dantas,57,Edif Paraguassu Sala 212,Comercio,Salvador,BA,40015-070,contato@r2espacointeligente.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,13/07/2012,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 8000,00",
21.585.562/0001-14,Eyemobile Tecnologia Ltda,,Professor Ayrton Roberto de Oliveira,64,Sala 802 Edif Isola Sarezzo,Itacorubi,Florianopolis,SC,88034-050,valeria@eyemobile.com.br,(11) 2655-7385,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,18/12/2014,Demais,Não optante,Sociedade Empresária Limitada,"R$ 1210000,00",
06.289.853/0001-71,Bredi Tecnologia Digital Ltda.,Bredi,R Antonio Barreto,130,Edif Village Office Sala 1703,Umarizal,Belem,PA,66055-050,reservas@mavilplazahotel.com.br,(91) 3345-3290,Informática,Desenvolvimento de programas de computador sob encomenda,19/05/2004,Micro empresa,Optante,Sociedade Simples Limitada,"R$ 8000,00",
13.572.697/0001-17,Rwh Tecnologia Ltda,Rwh Tech,Av Desembargador Vitor Lima,260,Sala 908,Trindade,Florianópolis,SC,88040-400,contato@rwhtech.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,29/04/2011,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 4000,00",
34.849.072/0001-20,Fluence Arquitetura e Urbanismo Ltda,Fluence Arquitetura,Nunes Valente,980,,Aldeota,Fortaleza,CE,60125-035,contato@fluencearquitetura.com,(85) 99917-9649,Engenharia,Serviços de desenho técnico relacionados à arquitetura e engenharia,12/09/2019,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 6000,00",
10.864.862/0001-16,A3 Agencia de Desenvolvimento Digital de Websites Ltda,Tritoq Web,Marechal Deodoro da Fonseca,400e,Sala 1008 Edif Piemonte Executivo,Centro,Chapeco,SC,89802-140,alexandre@tritoq.com,(49) 3322-4711,Informática,Desenvolvimento de programas de computador sob encomenda,02/06/2009,Micro empresa,Excluído,Sociedade Empresária Limitada,"R$ 12000,00",
10.199.185/0001-69,Art Tecnologia de Sistemas S/s Ltda,Agencialink.com,Av Jabaquara,1820,Andar 1,Mirandopolis,São Paulo,SP,04046-300,adriano@arttecnologia.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,14/07/2008,Micro empresa,Optante,Sociedade Simples Limitada,"R$ 10000,00",
04.130.983/0001-31,Bredam - Solu??es Ltda.,,Osaka,236,,Jardim Japao,São Paulo,SP,02124-040,grande@bredam.com.br,(11) 2931-9389,Informática,Desenvolvimento de programas de computador sob encomenda,27/10/2000,Micro empresa,Excluído,Sociedade Empresária Limitada,"R$ 2000,00",
14.438.757/0001-76,Cam Tecnologia Eireli,Cam Tecnologia Redes e Servicos,R Hermengarda,60,Sala: 604;,Meier,Rio de Janeiro,RJ,20710-010,inon.rubens@camtecnologia.com.br,(21) 3189-1050,Informática,Desenvolvimento de programas de computador sob encomenda,10/10/2011,Micro empresa,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 100000,00",1-10
05.550.922/0001-96,Orbe Tecnologia Ltda,Orbe Tecnologia,R Geraldo Alves de Carvalho,156,,Vila Marina,São Paulo,SP,02967-010,contato@bitbolsa.com.br,(11) 3976-3709,Informática,Desenvolvimento de programas de computador sob encomenda,16/12/2002,Micro empresa,Optante,Sociedade Simples Limitada,,
08.997.979/0001-26,3dot Digital Ltda,Wdam,R Pedro de Albuquerque,105,Casa: 02;,Jardim Primavera (zona Sul),São Paulo,SP,04812-170,contato@3dot.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,23/07/2007,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 500,00",
10.237.278/0001-30,Cittamobi Desenvolvimento em Tecnologia Ltda.,,Paulista,2537,Andar 9 Sala 9-102,Bela Vista,São Paulo,SP,01311-300,financeiro@cittamobi.com.br,(11) 5555-0150,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,01/08/2008,Demais,Não optante,Sociedade Empresária Limitada,"R$ 1700000,00",
07.070.596/0001-45,M3 Sistemas de Informatica Ltda,,R Dom Pedro Ii,397,Sala: 02;,Centro,Governador Valadares,MG,35010-090,suporte@m3sistemas.com.br,(33) 3271-3970,Informática,Desenvolvimento de programas de computador sob encomenda,28/10/2004,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 1000,00",
23.210.869/0001-66,C. Olivier Dalston Tecnologia da Informacao Ltda,Dalston Consultoria & Tecnologia,Srtvn Lote,Sn,Quadra702 Conjunto P Sala 1081,Asa Norte,Brasília,DF,70719-900,administrativo@dalston.com.br,(61) 3034-8322,Informática,Desenvolvimento de programas de computador sob encomenda,02/09/2015,Micro empresa,Excluído,Sociedade Empresária Limitada,"R$ 10000,00",
34.293.904/0001-74,Alfa Tecnologia e Servicos em Sensoriamento & Iot Ltda,Alfa Sense,Francisco Sa,750,Andar 2 Sala 2,Prado,Belo Horizonte,MG,30411-174,contato@alfasense.com.br,(11) 98443-8510,Informática,Desenvolvimento e licenciamento de programas de computador não customizáveis,23/07/2019,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
11.517.763/0001-20,Sinersoft Solucoes em Informatica Ltda,,Sao Martinho,489,,Santa Augusta,Criciuma,SC,88805-415,contato@sinersoft.com.br,(48) 3465-0000,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,03/02/2010,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 30000,00",
08.598.180/0001-67,Lorenzi Solucoes Texteis em Software Ltda,Lorenzi Solucoes Texteis Ltda,Henrique Lage,215,Sala: 05;,Centro,Criciuma,SC,88801-010,lia@lorenzisolucoes.com.br,(48) 3443-2620,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,19/12/2006,Micro empresa,Excluído,Sociedade Empresária Limitada,"R$ 10000,00",
24.830.445/0001-67,Eloverde Sistemas Ltda - Me,Eloverde,R Alwin Pasold,125,Sala 03,Vila Nova,Joinville,SC,89237-410,cintia@eloverde.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,17/05/2016,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
21.249.460/0001-28,J2x Desenvolvimento e Consultoria S.a.,Jetbov,Tiradentes,435,Sala 01,Centro,Piracicaba,SP,13400-760,financeiro@jetbov.com,(47) 3512-0023,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,16/10/2014,Demais,Excluído,Sociedade Anônima Fechada,"R$ 42493,00",
08.192.347/0001-95,Giro Marketing Ltda,Giro Marketing,R Paes Leme,136,Conj 104,Pinheiros,São Paulo,SP,05424-010,rodolfo@giromkt.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,24/07/2006,Empresa de pequeno porte,Não optante,Sociedade Simples Limitada,"R$ 2000,00",
01.652.073/0001-20,A&g Solucoes em Rh e Tecnologia Ltda,Ggdd,Al Topazio (residencial Nove),903,Cond 09,Alphaville,Santana de Parnaíba,SP,06540-235,contato@aegconsulting.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,13/02/1997,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 1000,00",
61.031.126/0001-18,Mgr Informatica Ltda,,R Silva Bueno,1660,Sala 607,Ipiranga,São Paulo,SP,04208-001,elizete@mgr.com.br,(11) 2065-1744,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,14/07/1989,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 30000,00",
12.342.704/0001-21,Ribeiro Sistemas e Automacao Eireli,Ribeiro Sistemas e Automacao,Doutor Leopoldo Guimaraes da Cunha,1551,Quadra05 Lote 07 Cond Parque dos Franceses,Oficinas,Ponta Grossa,PR,84035-310,eleandro@ribeirosistemas.com,(42) 99115-0678,Informática,Desenvolvimento de programas de computador sob encomenda,22/07/2010,Micro empresa,Excluído,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 100000,00",
23.400.954/0001-97,E-blood Desenvolvimento de Sistemas Ltda,,R Antonio Saes,425,,Centro,São José dos Campos,SP,12210-040,sergio@eblood.com.br,(12) 3204-6316,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,01/10/2015,Demais,Não optante,Sociedade Empresária Limitada,"R$ 20000,00",
59.124.107/0001-94,Viaclient Informatica Ltda.,,Av do Cafe,130,Sala 26,Vila Guarani (z Sul),São Paulo,SP,04311-000,contato@markanty.com.br,(11) 5585-9277,Informática,Desenvolvimento de programas de computador sob encomenda,21/06/1988,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 30000,00",
97.533.320/0001-49,Tekfine Solucoes e Tecnologia Ltda,Tekfine Tecnologia,Frederico Guarinon,488,Andar 4,Jardim Ampliacao,São Paulo,SP,05713-460,jaime@tekfine.com,(11) 96219-6688,Informática,Desenvolvimento de programas de computador sob encomenda,29/06/2011,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 85000,00",
04.161.285/0001-01,2km Interativa! Ltda,2km,R Goncalves Dias,142,Sala 806,Funcionarios,Belo Horizonte,MG,30140-090,vinicius@shockengenharia.com.br,(31) 3352-1077,Informática,Desenvolvimento de programas de computador sob encomenda,23/11/2000,Demais,Não optante,Sociedade Simples Limitada,"R$ 3000,00",70
30.455.900/0001-94,Cowboy Solucoes Integradas Para Agronegocio Ltda,,Deusdeti Martins Gomes,212,,Jardim Novo Barao Geraldo,Campinas,SP,13084-723,diego.cambra@cowboysf.com.br,(19) 98296-8776,Informática,Desenvolvimento e licenciamento de programas de computador não customizáveis,15/05/2018,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 3000,00",
11.871.739/0001-95,Rfxnet Informatica e Sistemas Ltda.,,Antonio de Souza Lima,48,Bloco 01 Apt 82,Residencial Parque da Fazenda,Campinas,SP,13060-564,robson@rfxnet.com,(19) 99136-1448,Informática,Desenvolvimento de programas de computador sob encomenda,26/03/2010,Demais,Não optante,Sociedade Empresária Limitada,"R$ 500,00",
17.623.947/0001-51,Protea Arquitetura Ltda,,Conselheiro Justino,580,Sala 22,Campestre,Santo André,SP,09070-580,natalia@arquiteturapini.com.br,(11) 4902-4334,Serviços Empresariais,Serviços de desenho técnico relacionados à arquitetura e engenharia,31/01/2013,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 5000,00",
00.739.435/0001-52,Aspect Sistemas e Solucoes Ltda,,Pedralia,407,1 Andar,Vila Gumercindo,São Paulo,SP,04130-080,administrativo@aspect.com.br,(11) 5069-1111,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,03/08/1995,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 700000,00",
24.979.935/0001-20,Usabit Servicos de Informatica Ltda,Usabit,Jose Wilker Ator,600,Bloco 2 Sala 713,Jacarepagua,Rio de Janeiro,RJ,22775-024,rodrigo@usabit.com.br,(21) 2263-4355,Informática,Desenvolvimento de programas de computador sob encomenda,31/05/2016,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 50000,00",
03.974.079/0001-40,Supra-gestao de Ativos Ltda,Supra Saude Inteligente,Nilo Pecanha,59,,Prata,Campina Grande,PB,58400-515,felipe.gadelha@suprasaude.com.br,(83) 3065-0500,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,31/07/2000,Demais,Não optante,Sociedade Empresária Limitada,"R$ 100000,00",
07.862.033/0001-90,Websoul Solucoes em Tecnologia e Design Ltda.,,Av Paulista,2.300,Andar Pilotis,Bela Vista,São Paulo,SP,01310-300,contato@websoul.com.br,(11) 99251-9105,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,19/09/2005,Demais,Não optante,Sociedade Simples Limitada,"R$ 2000,00",
10.756.619/0001-84,Namp Servicos Digitais e Solucoes Tecnologicas Ltda,,Vulcania,11,Apt 401 Bloco 03,Serrano,Belo Horizonte,MG,30882-020,contato@namp.com.br,(31) 2555-5394,Informática,Desenvolvimento de programas de computador sob encomenda,13/04/2009,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 40000,00",
29.237.202/0001-33,Maximo Sistemas Ltda,Maximo Sistemas,Otavio Rosolen,795,Sala 01,Jardim Terras de Santo Antonio,Hortolandia,SP,13185-563,edson@maximosistemas.com.br,(19) 3282-2228,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,08/12/2017,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 21000,00",
05.554.202/0001-07,Aguiar Informatica Ltda,Aguiar Informatica,Mato Grosso,1164,Sala 01,Centro,Cascavel,PR,85812-020,thiago@aguiar.eti.br,(45) 3037-4987,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,05/03/2003,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 20000,00",
36.044.596/0001-79,Entertime Sistemas e Servicos de Ti Eireli,,Joao Ramalho,489,,Piratininga,Osasco,SP,06230-030,guilherme@entertime.com.br,(11) 98382-5014,Informática,Desenvolvimento de programas de computador sob encomenda,17/01/2020,Micro empresa,Não optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 105000,00",
10.971.947/0001-01,Leverage Informatica Ltda,,R Furriel Luiz Antonio Vargas,164,Apt 403,Bela Vista,Porto Alegre,RS,90470-130,info@leverage.inf.br,,Informática,Desenvolvimento de programas de computador sob encomenda,13/07/2009,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
01.882.103/0001-95,Urbana Desenho e Comunicacao Digital Ltda,Urbana,R Rua Vendelino Stahelin,76,,Centro,São Pedro de Alcântara,SC,88125-000,oi@urbana.com.br,(11) 3085-1313,Informática,Desenvolvimento de programas de computador sob encomenda,22/05/1997,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,,
24.492.961/0001-29,Sovos Compliance Desenvolvimento de Sistemas Ltda.,,Rio Negro,161,Andar 13 Conj 1301 1302 e 1303,Alphaville Centro Industrial e Empresarial/alphavi,Barueri,SP,06454-000,alexandre.zacheo@sovos.com,(11) 4191-8753,Informática,Desenvolvimento de programas de computador sob encomenda,30/03/2016,Demais,Não optante,Sociedade Empresária Limitada,"R$ 3837144,00",
04.844.462/0001-46,Visioncom - Tecnologia da Informacao Ltda,Vcom Tecnologia,Av Manoel Goulart,939,Pavmto: 1;,Centro,Presidente Prudente,SP,19015-240,paulo@atevoce.com.br,(18) 3226-6062,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,17/12/2001,Demais,Excluído,Sociedade Empresária Limitada,"R$ 120000,00",
27.502.001/0001-90,Visie Padroes Web e Treinamento de Tecnologia Ltda. - Scp,,das Grumixamas,99,Sala 205,Vila Parque Jabaquara,São Paulo,SP,04349-000,edna@visie.com.br,(11) 3853-9261,Informática,Desenvolvimento de programas de computador sob encomenda,02/03/2017,Demais,Não optante,Sociedade em Conta de Participação,"R$ 1000,00",
08.574.081/0001-45,Automalogica Sistemas Para Automacao Ltda,Automalogica Sistemas Para Automacao Ltda,Av Francisco Pereira de Castro,1073,,Anhangabau,Jundiaí,SP,13208-110,administrativo@automalogica.com.br,(11) 4521-3261,Informática,Desenvolvimento de programas de computador sob encomenda,05/12/2006,Demais,Não optante,Sociedade Empresária Limitada,"R$ 50000,00",11-50
27.448.164/0001-32,Burn It Tecnologia Ltda,Burn It,R Domingos Lopes da Silva,329,Apt 82,Vila Suzana,São Paulo,SP,05641-030,sac@educaz.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,03/04/2017,Demais,Não optante,Sociedade Empresária Limitada,"R$ 50000,00",
19.907.999/0001-85,Archaus Arquitetura e Design em Interiores Ltda,Archaus,Av Itamarati,529,,Vila Curuca,Santo André,SP,09290-730,contato@archaus.com.br,(11) 4509-3808,Arquitetura,Serviços de desenho técnico relacionados à arquitetura e engenharia,19/03/2014,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 20000,00",
05.169.017/0001-90,Ideal-business Informatica Ltda,,R Joao Meneghelli,308,,Jd. das Acacias,Cravinhos,SP,14140-000,sergio@idealbusiness.com.br,(16) 3951-1340,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,24/07/2002,Micro empresa,Não optante,Sociedade Empresária Limitada,,
30.183.517/0001-24,Kode Factory Tecnologia da Informacao Ltda,Kode Factory Tecnologia,Raul Leite,76,,Bairro Alto,Curitiba,PR,82820-390,jonathan@kodefactory.com.br,(41) 3010-6870,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,20/03/2018,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 60000,00",
08.381.353/0001-90,Intelecto Consultoria e Desenvolvimento de Sistemas Ltda,Intelecto,R Vitorio Tessaro,225,,Centro,Maraú,RS,99150-000,comercial@intelectivo.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,10/10/2006,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 20000,00",
02.590.269/0001-09,Geocad Consultoria e Planejamento Ltda,,Ansemo Quaresmin,37,,Vicentina,Farroupilha,RS,95180-000,contato@geocadrs.com.br,,Serviços Empresariais,Serviços de desenho técnico relacionados à arquitetura e engenharia,26/05/1998,Micro empresa,Optante,Sociedade Empresária Limitada,,
08.345.623/0001-08,Dm7 Sistemas Corporativos do Brasil S/s Ltda,Dm7 Sistemas,R Antonio Julio dos Santos,201,Apto 33 Bl 02,Paraisopolis,São Paulo,SP,05661-020,food@bestfoodtoday.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,26/07/2006,Micro empresa,Optante,Sociedade Simples Limitada,"R$ 1500,00",
30.513.159/0001-70,Abellha Digital Software Ltda,,Romilda Margarita Gabriel,166,,Itaim Bibi,São Paulo,SP,04530-090,oi@abellha.com,(21) 2113-0731,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,21/05/2018,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 1000,00",
85.124.758/0001-94,Itis Tecnologia Ltda,,Av Rio Branco,198,Sala: 1;,Centro,Florianópolis,SC,88015-200,galeano@itis.com.br,(48) 3027-2700,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,06/08/1991,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 19000,00",
